"col-12","col-12 2","col-12 3","col-12 4","col-12 href","col-12 5","col-12 href 2","col-12 6","btn href"
"Ambienta SGR","Milano","+39 02 7217 461","info@ambientasgr.com","mailto:info@ambientasgr.com","http://www.ambientasgr.com","http://www.ambientasgr.com/","Adele Bertolino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl10$lnkDettaglio','')"
"Amundi","Milano","02 00651","para_italy@amundi.com","mailto:para_italy@amundi.com","https://www.amundi.it/","https://www.amundi.it/","Dr. Carles","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl11$lnkDettaglio','')"
"Andera Partners","Milano","+33763948816","f.gonzaga@anderapartners.com","mailto:f.gonzaga@anderapartners.com","http://www.anderapartners.com","http://www.anderapartners.com/","Francesco Gonzaga","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl12$lnkDettaglio','')"
"Antares Advisory Srl","Milano","+39 / 02 36579500","info@antaresinvestimenti.it","mailto:info@antaresinvestimenti.it","-","","Stefano Romiti, Guido Vesin, Alessandro Di Michele","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl13$lnkDettaglio','')"
"Apax Partners","London","+44 020 7872 6300","gabriele.cipparrone@apax.com","mailto:gabriele.cipparrone@apax.com","http://www.apax.com","http://www.apax.com/","Gabriele Cipparrone","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl14$lnkDettaglio','')"
"Arca Space Capital","Milano","+39 3357529925","lorenzo.giavenni@arcafondi.it","mailto:lorenzo.giavenni@arcafondi.it","http://www.arcafondi.it","http://www.arcafondi.it/","Lorenzo Giavenni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl15$lnkDettaglio','')"
"ARDIAN Italy","Milano","+39 / 02 58442401","milano.pe@ardian.com","mailto:milano.pe@ardian.com","http://www.ardian.com","http://www.ardian.com/","Nicolò Saidelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl16$lnkDettaglio','')"
"Argos Wityu Italia","Milano","+39 / 02 00660700","jpdb@argos.fund, am@argos.fund","mailto:jpdb@argos.fund, am@argos.fund","http://www.argos.wityu.fund","http://www.argos.wityu.fund/","Jean-Pierre Di Benedetto, Alessio Manigrasso","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl17$lnkDettaglio','')"
"Armònia SGR","Roma","+39 / 06 62286800","info@armoniasgr.it; armoniasgr@legalmail.it","mailto:info@armoniasgr.it; armoniasgr@legalmail.it","http://www.armoniasgr.it","http://www.armoniasgr.it/","Alessandro Grimaldi, Lucia Segni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl18$lnkDettaglio','')"
"Aurora Growth Capital","Luxembourg","+39 / 02 814 80 801","IR_Auroragrowthcapital@rpalt.com","mailto:IR_Auroragrowthcapital@rpalt.com","http://www.auroragrowthcapital.it","http://www.auroragrowthcapital.it/","Patrizia Micucci, Piero Migliorini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl19$lnkDettaglio','')"
"AVM SGR SpA Gestore EuVECA Società Benefit","Milano","+39 / 02 83451581","direzione@avmgestioni.com","mailto:direzione@avmgestioni.com","http://www.avmgestioni.com","http://www.avmgestioni.com/","Giovanna Dossena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl20$lnkDettaglio','')"
"Axon Partners Group","Milano","+39 3315475074","francesco.terraneo@axonpartnersgroup.com","mailto:francesco.terraneo@axonpartnersgroup.com","https://www.axonpartnersgroup.com/","https://www.axonpartnersgroup.com/","Francesco Terraneo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl21$lnkDettaglio','')"
"Azimut Libera Impresa SGR","Milano","+39 / 02 88981","azimutliberaimpresasgr@azimut.it","mailto:azimutliberaimpresasgr@azimut.it","http://www.azimutliberaimpresa.it","http://www.azimutliberaimpresa.it/","Pietro Muzio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl22$lnkDettaglio','')"
"B4 Investimenti SGR","Roma","+39 06 69760200","info@b4investimenti.it","mailto:info@b4investimenti.it","http://www.b4investimenti.it","http://www.b4investimenti.it/","Fabrizio Baroni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl23$lnkDettaglio','')"
"Bain Capital","London","+44 / 207 5145252","http://www.baincapital.com","http://www.baincapital.com/","-","","Luca Bassi, Ivano Sessa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl24$lnkDettaglio','')"
"BC Partners","London","+44 / 20 70094800","london@bcpartners.com","mailto:london@bcpartners.com","http://www.bcpartners.com","http://www.bcpartners.com/","Stefano Ferraresi, Marco Castelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl25$lnkDettaglio','')"
"BlueGem Capital Partners","London","+44 / 20 76479710","e.dispiezio@bluegemcp.com","mailto:e.dispiezio@bluegemcp.com","http://www.bluegemcp.com","http://www.bluegemcp.com/","Emilio Di Spiezio Sardo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl27$lnkDettaglio','')"
"Bridgepoint","Milano","+39 / 02 806951","milan@bridgepoint.eu","mailto:milan@bridgepoint.eu","http://www.bridgepoint.eu","http://www.bridgepoint.eu/","Frederic Pescatori, Yuri Pizzasegola","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl28$lnkDettaglio','')"
"BU Italy","Milano","-","ludovica.giovannini@bu-partners.it","mailto:ludovica.giovannini@bu-partners.it","http://www.bu-partners.it","http://www.bu-partners.it/","Ludovica Giovannini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl29$lnkDettaglio','')"
"Canova SGR","Villorba","+39 0422 278301","hello@canovasgr.it","mailto:hello@canovasgr.it","http://www.canovasgr.it","http://www.canovasgr.it/","Alessandro Bruscagin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl30$lnkDettaglio','')"
"Capital Dynamics SGR","Milano","+39 / 02 3031771","info@capdyn.com","mailto:info@capdyn.com","http://www.capdyn.com","http://www.capdyn.com/","Robert H. Berlé, Federico Braguglia","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl31$lnkDettaglio','')"
"CAPZA","Milano","+390283966710","szavattaro@capza.co","mailto:szavattaro@capza.co","http://www.capza.co","http://www.capza.co/","Stefano Zavattaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl32$lnkDettaglio','')"
"Carlyle","Milano","+39 / 02 6200461","franca.ferrario@carlyle.com","mailto:franca.ferrario@carlyle.com","http://www.carlyle.com","http://www.carlyle.com/","Marco De Benedetti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl33$lnkDettaglio','')"
"CDP Equity","Milano","+39 02 4674 4333","info@cdpequity.it","mailto:info@cdpequity.it","https://www.cdp.it/sitointernet/it/cdp_equity.page","https://www.cdp.it/sitointernet/it/cdp_equity.page","Enzo Colombo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl34$lnkDettaglio','')"
"Charme Capital Partners SGR","Milano","+39 / 02 8904041","segreteria@charmecapitalpartners.com","mailto:segreteria@charmecapitalpartners.com","http://www.charmecapitalpartners.com","http://www.charmecapitalpartners.com/","Matteo Cordero di Montezemolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl35$lnkDettaglio','')"
"Cinven","Milano","+39 02 32111700","info@cinven.com","mailto:info@cinven.com","http://www.cinven.com","http://www.cinven.com/","Matteo Corà","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl36$lnkDettaglio','')"
"Clessidra Capital Credit SGR","Milano","+39 02 8695221","investor.relations@clessidragroup.it","mailto:investor.relations@clessidragroup.it","http://www.clessidracapitalcredit.it","http://www.clessidracapitalcredit.it/","Silvio Longari","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl37$lnkDettaglio','')"
"Clessidra Private Equity SGR","Milano","+39 / 02 8695221","investor.relations@clessidragroup.it","mailto:investor.relations@clessidragroup.it","http://www.clessidraprivateequity.it","http://www.clessidraprivateequity.it/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl38$lnkDettaglio','')"
"Consilium SGR","Milano","+39 / 02 7260191","info@consiliumsgr.it","mailto:info@consiliumsgr.it","http://www.consiliumsgr.com","http://www.consiliumsgr.com/","Antonio Glorioso, Stefano Iamoni","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl39$lnkDettaglio','')"
"Cooperare","Bologna","+39 / 051 6492395","r.cattabriga@cooperarespa.it","mailto:r.cattabriga@cooperarespa.it","http://www.cooperarespa.it","http://www.cooperarespa.it/","Roberto Cattabriga, Marco Bulgarelli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl40$lnkDettaglio','')"
"CVC Advisers (Italia)","Milano","+39 / 02 7607571","gdepalma@cvc.com","mailto:gdepalma@cvc.com","http://www.cvc.com","http://www.cvc.com/","Giorgio De Palma","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl41$lnkDettaglio','')"
"DeA Capital Alternative Funds SGR","Milano","+39 02 2906631","ir-af@deacapital.com","mailto:ir-af@deacapital.com","http://www.deacapitalaf.com","http://www.deacapitalaf.com/","Alessandra Patera","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl42$lnkDettaglio','')"
"Eiffel Investment Group","Paris","+33 (0)1 39 54 35 67","contact@eiffel-ig.com","mailto:contact@eiffel-ig.com","https://www.eiffel-ig.com/","https://www.eiffel-ig.com/","Lorenzo Marzo Magno","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl43$lnkDettaglio','')"
"Entangled Capital SGR","Milano","+39 02 85451750","info@ecsgr.com.com","mailto:info@ecsgr.com.com","http://www.entangledcapital.com","http://www.entangledcapital.com/","Anna Guglielmi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl44$lnkDettaglio','')"
"EnTrust Global Italia","Milano","+39 342 0402378","gfacincani@entrustglobal.com","mailto:gfacincani@entrustglobal.com","http://www.entrustglobal.com","http://www.entrustglobal.com/","Ginevra Facincani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl45$lnkDettaglio','')"
"EOS Investment Management Group","London","+44 (0) 20 3709 7759","c.mongillo@eosimgroup.com","mailto:c.mongillo@eosimgroup.com","https://eosimgroup.com/","https://eosimgroup.com/","Ciro Mongillo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl46$lnkDettaglio','')"
"EQT","Milano","+39 02 82952847","reception.milan@eqtpartners.com","mailto:reception.milan@eqtpartners.com","http://www.eqtgroup.com","http://www.eqtgroup.com/","Massimiliano Manniello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl47$lnkDettaglio','')"
"Equinox AIFM","Luxembourg","+352 / 208001221","aifm@equinox-aifm.lu","mailto:aifm@equinox-aifm.lu","http://www.equinox-investments.com","http://www.equinox-investments.com/","Giorgio Mercogliano","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl48$lnkDettaglio','')"
"Equita Capital SGR","Milano","+39 / 02 62041","p.pendenza@equita.eu","mailto:p.pendenza@equita.eu","https://sgr.equita.eu","https://sgr.equita.eu/","Paolo Pendenza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl49$lnkDettaglio','')"
"Equiter - Investimenti per il Territorio","Torino","+39 011 5557903","segreteria@equiterspa.com","mailto:segreteria@equiterspa.com","http://www.equiterspa.com","http://www.equiterspa.com/","Igor Calcio Gaudino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl50$lnkDettaglio','')"
"Eurazeo","Parigi","+33 7 69 37 87 89","jtrezza@eurazeo.com","mailto:jtrezza@eurazeo.com","http://www.eurazeo.com","http://www.eurazeo.com/","Julien Trezza","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl51$lnkDettaglio','')"
"F&P Equity Partners","Milano","-","http://www.fp-equity-partners.com","http://www.fp-equity-partners.com/","-","","Maurizio Perroni, Guglielmo Fiocchi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl52$lnkDettaglio','')"
"FARO Value","Milano","/","roberto.delgiudice@farovalue.it","mailto:roberto.delgiudice@farovalue.it","www.faroalternativeinvestments.com","https://www.aifi.it/en/www.faroalternativeinvestments.com","Roberto Del Giudice","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl53$lnkDettaglio','')"
"Fineurop","Milano","+39 / 02 77491","info@fineurop.it","mailto:info@fineurop.it","http://www.fineurop.it","http://www.fineurop.it/","Raymond Totah","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl54$lnkDettaglio','')"
"Finint Investments SGR","Conegliano","+39 / 0438 360407","sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","mailto:sales@finint.com; team_private_debt@finint.com; team.FE4G@finint.com","http://www.finintinvestments.com","http://www.finintinvestments.com/","Mauro Sbroggiò, Vania Serena","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl55$lnkDettaglio','')"
"Fondo Italiano d’Investimento SGR","Milano","+39 / 02 635321","info@fondoitaliano.it","mailto:info@fondoitaliano.it","http://www.fondoitaliano.it","http://www.fondoitaliano.it/","Roberto Travaglino","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl56$lnkDettaglio','')"
"Friulia","Trieste","+39 / 040 31971","mail@friulia.it","mailto:mail@friulia.it","http://www.friulia.it","http://www.friulia.it/","Sara Spogliarich","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl57$lnkDettaglio','')"
"FSI","Milano","+39 / 02 6200141","info@fondofsi.it","mailto:info@fondofsi.it","http://www.fondofsi.it","http://www.fondofsi.it/","Maurizio Tamagnini, Barnaba Ravanne, Marco Tugnolo, Carlo Moser, Marco Valcamonica","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl58$lnkDettaglio','')"
"FVS SGR","Venezia","+39 / 041 5094071","mail@fvssgr.it","mailto:mail@fvssgr.it","http://www.fvssgr.it","http://www.fvssgr.it/","Diego Tognetti, Luca Briotto","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl59$lnkDettaglio','')"
"Generali Investments","Milano","+39 02 43534831","info@generali-invest.com","mailto:info@generali-invest.com","http://www.generali-investments.com/","http://www.generali-investments.com/","Roberto Marsella","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl60$lnkDettaglio','')"
"Gradiente SGR","Padova","+39 / 049 651481","info@gradientesgr.it","mailto:info@gradientesgr.it","http://www.gradientesgr.it","http://www.gradientesgr.it/","Pietro Busnardo, Lara Farina","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl61$lnkDettaglio','')"
"Green Arrow Capital SGR","Roma","(+39) 06 94354415 -  (+39) 342 624 08 55","investorrelation.sgr@greenarrow-capital.com","mailto:investorrelation.sgr@greenarrow-capital.com","https://www.greenarrow-capital.com/","https://www.greenarrow-capital.com/","Claudio Ansuinelli - Managing Director - Head of Sales","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl62$lnkDettaglio','')"
"HAT SGR","Milano","+39 / 02 89286200","info@hat.it","mailto:info@hat.it","http://www.hat.it","http://www.hat.it/","Ignazio Castiglioni, Nino Attanasio, Lorenzo Dall'Oca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl63$lnkDettaglio','')"
"HAT Sicaf","Milano","+39 / 02 89286200","info@hat.it","mailto:info@hat.it","http://www.hatsicaf.it","http://www.hatsicaf.it/","Ignazio Castiglioni, Nino Attanasio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl64$lnkDettaglio','')"
"Ibla Capital","Roma","+39 / 06 8635 6235","info@iblacapital.com","mailto:info@iblacapital.com","http://www.iblacapital.com","http://www.iblacapital.com/","Alessandro Lo Savio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl65$lnkDettaglio','')"
"IGI Private Equity","Milano","+39 / 02 83425770","matteo.cirla@igisgr.it; angelo.mastrandrea@igisgr.it","mailto:matteo.cirla@igisgr.it; angelo.mastrandrea@igisgr.it","http://www.igisgr.it","http://www.igisgr.it/","Matteo Cirla, Angelo Mastrandrea","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl66$lnkDettaglio','')"
"Innovative-RFK","Milano","+39/ 02 76003846","paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","mailto:paolo.pescetto@innovative-rfk.it; antonello.carlucci@innovative-rfk.it","http://www.innovative-rfk.it","http://www.innovative-rfk.it/","Antonello Carlucci","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl67$lnkDettaglio','')"
"Intesa Sanpaolo – Direzione Group Shareholdings","Milano","-","massimo.vuillermin@intesasanpaolo.com; natalia.cappone@intesasanpaolo.com","mailto:massimo.vuillermin@intesasanpaolo.com; natalia.cappone@intesasanpaolo.com","http://www.intesasanpaolo.com","http://www.intesasanpaolo.com/","Massimo Vuillermin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl68$lnkDettaglio','')"
"Invitalia","Roma","+39 06 42160","segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","mailto:segreteria_invman@invitalia.it; ariccio@invitalia.it ; dstraventa@invitalia.it","http://www.invitalia.it","http://www.invitalia.it/","Ernesto Somma; Antonio Riccio; Daniele Straventa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl69$lnkDettaglio','')"
"Itago SGR","Venezia","+39 041 0996660","info@itagopartners.it","mailto:info@itagopartners.it","http://www.itagopartners.it","http://www.itagopartners.it/","Piergiorgio Fantin, Domenico Tonussi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl70$lnkDettaglio','')"
"Kyip Capital Sgr","Milano","0283972899","info@kyipcapital.com","mailto:info@kyipcapital.com","https://kyipcapital.com/","https://kyipcapital.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl71$lnkDettaglio','')"
"L Catterton Italy Advisors","Milano","+39 / 02 7626191","lcatterton.europe@lcatterton.com","mailto:lcatterton.europe@lcatterton.com","http://www.lcatterton.com","http://www.lcatterton.com/","L Catterton","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl72$lnkDettaglio','')"
"Lion River I NV","Milano","+39 02 43535063","lionriver1@generali.com","mailto:lionriver1@generali.com","-","","Ileana Bolcato","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl73$lnkDettaglio','')"
"Macquarie – MAM","London","+ 39 / 351 7363060 ; +44 / 7917 635779","mamprivatemarketsemea@macquarie.com","mailto:mamprivatemarketsemea@macquarie.com","http://www.macquarie.com/eu","http://www.macquarie.com/eu","Raffaella Copper","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl74$lnkDettaglio','')"
"Mindful Capital Partners","Milano","+39 / 02 809401","corporate@mcpinvest.com","mailto:corporate@mcpinvest.com","http://www.mcpinvest.com","http://www.mcpinvest.com/","Alberto Camaggi, Andrea Tuccio, Lorenzo Stanca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl75$lnkDettaglio','')"
"Mittel","Milano","+39 / 02 721411","pe@mittel.it","mailto:pe@mittel.it","http://www.mittel.it","http://www.mittel.it/","Pietro Santicoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl76$lnkDettaglio','')"
"Montefiore Investment","Milano","+39 02 86 88 63 08","ml@montefiore.eu; ac@montefiore.eu","mailto:ml@montefiore.eu; ac@montefiore.eu","https://montefiore.eu/en/","https://montefiore.eu/en/","Marie Londero, Alessandro Candido","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl77$lnkDettaglio','')"
"Narval Investimenti","Torino","+39 / 011 5520442","info@narvalinvestimenti.it","mailto:info@narvalinvestimenti.it","http://www.narvalinvestimenti.it","http://www.narvalinvestimenti.it/","Mauro Castellano, Pietro Poli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl78$lnkDettaglio','')"
"Nextalia SGR","Milano","+39 0238 2841","ir@nextaliasgr.com","mailto:ir@nextaliasgr.com","http://www.nextaliasgr.com","http://www.nextaliasgr.com/","Niccolò Bussolati","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl79$lnkDettaglio','')"
"Overseas Industries","Milano","+39 / 02 76012692","overseas@overseasindustries.com","mailto:overseas@overseasindustries.com","-","","Gonzalo Bazzino, Federico Nordio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl80$lnkDettaglio','')"
"PAI SAS - Italian Branch","Milano","+39 / 02 85451520","segreteria.milano@paipartners.com","mailto:segreteria.milano@paipartners.com","http://www.paipartners.com","http://www.paipartners.com/","Raffaele Vitale","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl81$lnkDettaglio','')"
"Palladio Holding","Milano","+39 / 02 72730700","n.buttignol@pfh.eu; n.iorio@pfh.eu","mailto:n.buttignol@pfh.eu; n.iorio@pfh.eu","http://www.pfh.eu","http://www.pfh.eu/","Nadia Buttignol,  Nicola Iorio","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl82$lnkDettaglio','')"
"Partners Group (Luxembourg) S.A. - Milan Branch","Milano","+39 / 02 8883691","http://www.partnersgroup.com","http://www.partnersgroup.com/","-","","Enrico Pinelli, Raniero Proietti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl83$lnkDettaglio','')"
"Permira Associati","Milano","+39 / 02 76004740","giorgio.dinaro@permira.com","mailto:giorgio.dinaro@permira.com","http://www.permira.com","http://www.permira.com/","Giorgio Dinaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl84$lnkDettaglio','')"
"Pillarstone","Milano","+390282823900","info@pillarstone.com","mailto:info@pillarstone.com","http://www.pillarstone.com","http://www.pillarstone.com/","Gaudenzio Bonaldo Gregori","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl85$lnkDettaglio','')"
"PM&PARTNERS SGR","Milano","+39 02 7249041","andrea.mugnai@pm-partners.it","mailto:andrea.mugnai@pm-partners.it","http://www.pm-partners.it","http://www.pm-partners.it/","Andrea Mugnai","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl86$lnkDettaglio','')"
"Polis SGR – Gruppo LBO France","Milano","+39 02 3206001","sgr@polis-sgr.com","mailto:sgr@polis-sgr.com","-","","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl87$lnkDettaglio','')"
"Portobello Capital","Madrid","+34 914 318 071","info@portobellocapital.es","mailto:info@portobellocapital.es","http://www.portobellocapital.es/en/","http://www.portobellocapital.es/en/","Antonio Todisco","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl88$lnkDettaglio','')"
"Private Equity Partners","Milano","+39 / 02 8052171","info@privateequitypartners.com","mailto:info@privateequitypartners.com","http://www.privateequitypartners.com","http://www.privateequitypartners.com/","Fabio L. Sattin","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl89$lnkDettaglio','')"
"Progressio SGR","Milano","+39 / 02 870611","segreteria@progressiosgr.it","mailto:segreteria@progressiosgr.it","http://www.progressiosgr.it","http://www.progressiosgr.it/","Filippo Gaggini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl90$lnkDettaglio','')"
"Quadrivio Group","Milano","+39 / 02 89093758","info@quadriviogroup.com","mailto:info@quadriviogroup.com","http://www.quadriviogroup.com","http://www.quadriviogroup.com/","Walter Ricciotti, CEO Quadrivio Group","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl91$lnkDettaglio','')"
"QuattroR","Milano","+39 02 3679 9670","matilde.cucuzza@quattror.com","mailto:matilde.cucuzza@quattror.com","http://quattror.com","http://quattror.com/","Matilde Cucuzza, Investor relations & ESG","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl92$lnkDettaglio','')"
"Renaissance Partners","Milano","+39 / 02 76415811","info@rpalt.com","mailto:info@rpalt.com","https://www.renaissancealternatives.com","https://www.renaissancealternatives.com/","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl93$lnkDettaglio','')"
"Riello Investimenti SGR","Milano","+39 / 02 80504178","info@rielloinvestimenti.it","mailto:info@rielloinvestimenti.it","http://www.rielloinvestimenti.it","http://www.rielloinvestimenti.it/","Andrea Tomaschù, Federica Loconsolo","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl94$lnkDettaglio','')"
